number,name,boolean,source,enabled
26,certutil,(certutil AND (-urlcache OR -decode OR -encode OR -F OR -split)),https://www.bleepingcomputer.com/news/security/certutilexe-could-allow-attackers-to-download-malware-while-bypassing-av/,1
27,change,(change AND (logon OR port OR user)),https://www.techrepublic.com/article/change-the-terminal-services-listening-port-in-windows-2000/,1
28,chcp,(chcp),"https://www.computerhope.com/chcphlp.htm#:~:text=The%20chcp%20command%20is%20used,be%20loaded%2C%20and%20the%20country.",1
29,cipher,(cipher AND (-c OR -d OR -k or -e OR -h)),https://www.thewindowsclub.com/cipher-command-line-tool-windows,1
30,auditpol,(auditpol),"https://www.microsoftpressstore.com/articles/article.aspx?p=2217266&seqNum=3#:~:text=Auditpol.exe%20is%20a%20command,settings%20with%20the%20%2FSet%20subcommand",1
31,bitsadmin,(bitsadmin),https://docs.microsoft.com/en-us/windows/win32/bits/bitsadmin-tool,1
32,arp,(arp AND (-a OR -g)),https://www.meridianoutpost.com/resources/articles/command-line/arp.php,1
33,sed,(sed AND /etc/),https://stackoverflow.com/questions/30139358/changing-etc-hosts-with-sed-command,1
34,onesixtyone,(onesixtyone),"https://www.kali.org/tools/onesixtyone/#:~:text=onesixtyone%20is%20a%20simple%20SNMP,software%20running%20on%20the%20device.",1
35,snmpwalk,(snmpwalk),https://www.comparitech.com/net-admin/snmpwalk-examples-windows-linux/,1
36,website studd,((post OR curl OR wget OR get) AND (.js OR .zip OR .php OR .aspx OR exe OR .xml OR .txt)),https://stackoverflow.com/questions/32626800/post-request-of-an-exe-application,1
37,phymyadmin,(/phpmyadmin OR /manager/html),https://www.phpmyadmin.net/,1
38,powershell bypass,(powershell AND -executionpolicy AND bypass),https://riptutorial.com/powershell/example/20107/bypassing-execution-policy-for-a-single-script,1
39,php session id,(GET OR POST AND PHPSESSID),"https://stackoverflow.com/questions/1370951/what-is-phpsessid#:~:text=PHPSESSID%20is%20an%20auto%20generated,this%20answer%20to%20receive%20notifications",1
42,simplehttpserver,(simplehttpserver),https://www.pythonforbeginners.com/modules-in-python/how-to-use-simplehttpserver,1
43,php server,(php AND -s),https://null-byte.wonderhowto.com/how-to/php-for-hackers-part-1-introduction-and-setting-up-0169117/,1
44,ruby run,(ruby AND -run),https://github.com/ruby,1
45,busybox,(busybox),https://busybox.net/downloads/BusyBox.html,1
46,shell exec,(shell_exec),https://www.php.net/manual/en/function.shell-exec.php,1
48,msfvenom,(msfvenom),https://www.offensive-security.com/metasploit-unleashed/msfvenom/,1
49,metasploit trash,(lhost OR rhost OR lport OR rport),https://www.offensive-security.com/metasploit-unleashed/msfconsole-commands/,1
50,mshta.exe,(mshta AND (javascript OR .hta OR vbs OR http OR https OR winword OR excel OR powerpnt OR cmd OR powershell OR wscript OR cscript OR sh.exe OR bash.exe OR reg OR bitsadmin)),https://www.tutorialspoint.com/hacking-with-hta-file-mshta-exe,1
51,hidden powershell,(powershell AND hidden),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_generic.yml,1
52,powershell noprofile,(powershell AND -nop),https://docs.microsoft.com/en-us/powershell/,1
53,create shell,(createobject AND shell),https://docs.microsoft.com/en-us/previous-versions/windows/desktop/legacy/bb776890(v=vs.85),1
54,ftp shenanigans,(ftp AND (-v OR -n OR -s)),https://www.hostinger.com/tutorials/what-is-ftp,1
55,System.Net.WebClient,(powershell AND System.Net.WebClient),https://stackoverflow.com/questions/41819606/how-to-download-a-file-with-powershell-system-net-webclient-and-custom-user-agen,1
56,tftp,(tftp AND put),https://superuser.com/questions/581812/put-file-with-tftp-client-in-linux,1
57,buffers,((kernel32.dll OR msvcrt.dll) AND (memset OR virtualalloc OR createthread)),https://www.pinvoke.net/default.aspx/msvcrt/memset.html,1
58,unrestricted execution policy,(powershell AND Unrestricted),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.security/set-executionpolicy?view=powershell-7.2,1
59,tasklist,(tasklist AND /SVC),https://www.computerhope.com/tasklist.htm,1
60,systeminfo,(systeminfo AND findstr),https://www.windows-commandline.com/system-information-systeminfo-command/,1
61,route print,(route AND print),https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/route_ws2008,1
62,firewall,(netsh AND advfirewall AND (action AND allow) OR show),https://docs.microsoft.com/en-us/troubleshoot/windows-server/networking/netsh-advfirewall-firewall-control-firewall-behavior,1
63,schtasks,((schtasks OR at.exe) AND query),https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/schtasks,1
64,accesschk,(accesschk),https://docs.microsoft.com/en-us/sysinternals/downloads/accesschk,1
65,get ACL,(get-acl),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.security/get-acl?view=powershell-7.2,1
66,driverquery,(driveryquery),"https://www.computerhope.com/driverquery.htm#:~:text=The%20driverquery%20command%20enables%20an,list%20of%20installed%20device%20drivers.",1
67,pnpsigneddriver,(Get-WmiObject AND Win32_PnPSignedDriver),https://docs.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa394354(v=vs.85),1
68,powershell priv esc,(powershell AND start-process AND -runas),https://stackoverflow.com/questions/28989750/running-powershell-as-another-user-and-launching-a-script,1
69,sigcheck,(sigcheck),https://docs.microsoft.com/en-us/sysinternals/downloads/sigcheck,1
70,fodhelper,(fodhelper),"https://www.oreilly.com/library/view/mastering-kali-linux/9781789340563/1124000a-2945-4408-99f3-e5f6c420f7e3.xhtml#:~:text=fodhelper.exe%20is%20the%20executable,exe%20to%20bypass%20the%20UAC.",1
71,php passwords,(php AND user AND admin),https://www.php.net/manual/en/function.password-hash.php,1
72,hashcat64,(hashcat64),https://hashcat.net/hashcat/,1
73,plink,((plink OR putty)AND (-r OR -pw)),https://the.earth.li/~sgtatham/putty/0.60/htmldoc/Chapter7.html,1
74,netsh proxy,(netsh AND (portproxy OR listenport OR listenaddress OR connectport OR connectaddress)),https://docs.microsoft.com/en-us/windows-server/networking/technologies/netsh/netsh-interface-portproxy,1
75,net user domain,(net AND /domain),https://www.lifewire.com/net-user-command-2618097,1
76,:GetCurrent Domain(),(GetCurrent AND Domain),https://stackoverflow.com/questions/2085744/how-do-i-get-the-current-username-in-windows-powershell,1
77,import module,(import-module),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/import-module?view=powershell-7.2,1
78,Get-NetLoggedon,(Get-Net),https://docs.microsoft.com/en-us/powershell/module/netadapter/get-netadapter?view=windowsserver2022-ps,1
79,klist,(klist),https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/klist,1
80,pass and admin,(-pass AND (admin or -admin)),https://superuser.com/questions/219391/using-command-prompt-arguments-to-run-a-file-with-arguments-as-an-administrato,1
81,pth-winexe,(pth-winexe),https://infinitelogins.com/2020/09/05/popping-remote-shells-pth-winexe-on-windows/,1
82,net use,"(net AND use AND ""\\"")",https://www.lifewire.com/net-use-command-2618096,1
83,psexec,(psexec OR psexesvc),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_tool_psexec.yml,1
84,kiwi,(kiwi),https://www.kiwisyslog.com/other-it-products,1
85,general invoke,(powershell AND invoke),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2,1
86,icacls,(icacls AND c:),https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/icacls,1
87,ping,(ping AND -n AND 1),https://riptutorial.com/batch-file/example/28398/ping,1
88,juicypotato.exe,(juicypotato),https://github.com/ohpe/juicy-potato,1
89,invoke command,(invoke-command AND (-session OR -scriptblock)),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2,1
90,copy item,(copy-item AND -tosession),https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.management/copy-item?view=powershell-7.2,1
91,bloodhound,(bloodhound),"https://attack.mitre.org/software/S0521/#:~:text=BloodHound%20is%20an%20Active%20Directory,paths%20within%20an%20AD%20environment.",1
92,UAC bypasses,(ms-settings AND Shell AND Open AND command),https://pentestlab.blog/2017/06/07/uac-bypass-fodhelper/,1
93,UAC bypasses,(HKCU AND shell AND command),https://social.technet.microsoft.com/Forums/en-US/58ceb750-29ef-4262-a626-6cc132611d2f/trying-to-change-hkcu-registry-value-shell-in-a-task-sequence?forum=configmanagerosd,1
94,remote thread,(kernel32dll AND loadlibraryA),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/create_remote_thread/sysmon_createremotethread_loadlibrary.yml,1
95,powershell remote thread,(powershell AND rundll32),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/create_remote_thread/sysmon_susp_powershell_rundll32.yml,1
96,powershell non interactive,(powershell AND (-noni OR -noninteractive)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_generic.yml,1
97,,(powershell AND syncAppvPublishingServer.exe),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_syncappvpublishingserver_exe.yml,1
98,Esentutil shadow copy edits,(esentu AND (vss OR /y)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/win_susp_esentutl_activity.yml,1
99,netscan tool,(netscan.exe OR softperfect OR netscan.lic),https://www.softperfect.com/products/networkscanner/,1
100,Win32 based shadow copy alerts,(Win32_ShadowCopy),https://docs.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa394428(v=vs.85),1
101,routerscan tool,(routerscan.exe),https://en.kali.tools/?p=244,1
102,grabff tool,(grabff.exe),https://www.cisa.gov/uscert/ncas/analysis-reports/ar21-126a,1
103,Odd rclone usage,(rclone.exe AND (pass OR user OR sync OR lsd OR remote OR ls OR --config OR copy OR certificate OR  mega OR pcloud OR ftp OR progress OR ignore OR auto-confirm OR transfers OR multi-thread)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/sysmon_rclone_execution.yml,1
104,Shadow copy modificationa,(vssadmin AND (shadow OR shadows)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/win_susp_vssadmin_ntds_activity.yml,1
105,lateral movement with globalroot,(copy AND globalroot AND (sam or ntds.dit)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/win_susp_vssadmin_ntds_activity.yml,1
106,Cobalt Strike DNS beaconing,(post.1 OR aaa.stage OR .stage.),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/dns_query/dns_net_mal_cobaltstrike.yml,1
107,DNS Query for IP Lookup Service APIs,((ipv4.icanhazip.com OR canireachthe.net OR ip.anysrc.net edns.ip-api.com OR wtfismyip.com OR checkip.dyndns.org  OR api.2ip.ua OR icanhazip.com OR api.ipify.org OR ip-api.com OR checkip.amazonaws.com  OR ipecho.net OR ipinfo.io OR ipv4bot.whatismyipaddress.com OR freegeoip.app) AND (chrome OR iexplore OR firefox OR brave OR opera OR msedge OR vivaldi)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/dns_query/dns_net_susp_ipify.yml,1
108,DNS HybridConnectionManager Service Bus,((servicebus.windows.net OR HybridConnectionManager) AND (listener)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/dns_query/dns_query_hybridconnectionmgr_servicebus.yml,1
109,DNS Query for MEGA.io Upload Domain,(userstorage.mega.co.nz),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/dns_query/dns_query_mega_nz.yml,1
110,Rundll and JS,(rundll32 AND (javascript OR js)),https://isc.sans.edu/forums/diary/From+RunDLL32+to+JavaScript+then+PowerShell/27428/,1
111,,(getobject AND script),https://docs.partnerconnect.elliemae.com/partnerconnect/reference/interacting-with-scripting-objects,1
112,,(MSBuild.exe),https://heimdalsecurity.com/blog/hackers-abuse-microsofts-msbuild-platform-to-deploy-malware/,1
113,,((regsvcs OR regasm OR InstallUtil) AND (.dll)),https://blog.actorsfit.com/a?ID=00550-75440115-db83-4a5f-a9f6-174b6ce632ee,1
114,AppInstaller Attempts From URL by DNS,(DesktopAppInstaller OR ms-appinstaller OR AppInstaller.exe),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/dns_query/win_dq_lobas_appinstaller.yml,1
115,,(fgexec OR dumpsvc OR cachedump OR mimidrv OR gsecdump OR servpw OR pwdump),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/driver_load/driver_load_mal_creddumper.yml,1
116,,(pipe AND /c AND echo AND (cmd OR comspec)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/driver_load/driver_load_meterpreter_or_cobaltstrike_getsystem_service_installation.yml,1
117,,"(rundll AND /p AND dll,a)",https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/driver_load/driver_load_meterpreter_or_cobaltstrike_getsystem_service_installation.yml,1
118,,(DBUtil_2_3.Sys),https://blog.malwarebytes.com/detections/exploit-cve202121551/,1
119,,(WinDivert.sys OR WinDivert64.sys),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/driver_load/driver_load_windivert.yml,1
120,,(Win32_Process\:\:Create AND (winword.exe OR excel.exe OR powerpnt.exe)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/edr/edr_command_execution_by_office_applications.yml,1
121,,((prefetch OR .pf) AND (svchost OR autorite OR remove-item)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_delete/sysmon_delete_prefetch.yml,1
122,,(sdelete64 AND (aaa OR zzz)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_delete/sysmon_sysinternals_sdelete_file_deletion.yml,1
123,CVE 2021 1675,(spool AND drivers AND x64),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_delete/win_cve_2021_1675_printspooler_del.yml,1
124,Teamviewer log deletion,(teamviewer OR .log),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_delete/win_fd_delete_appli_log.yml,1
125,SpoolSV registry,(pointandprint),https://admx.help/?Category=Windows_10_2016&Policy=Microsoft.Policies.Printing::PointAndPrint_Restrictions_Win7,1
126,Lanmanserver Registry edits,(reg AND lanmanserver),https://www.techtarget.com/searchvirtualdesktop/opinion/Updated-Lanmanserver-and-Lanmanworkstation-Tuning,1
127,EveryoneIncludesAnonymous Powershell arg,(EveryoneIncludesAnonymous),https://www.stigviewer.com/stig/windows_server_2012_member_server/2014-01-07/finding/V-3377,1
128,Restrict Anonymous,(RestrictAnonymous),https://www.stigviewer.com/stig/windows_server_2012_member_server/2014-01-07/finding/V-3377,1
129,Odd file extensions with CMD,((cmd) AND (.vhd OR .bac OR .bak OR .wbcat OR .bkf OR .set OR .win OR .dsk)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_delete/win_fd_delete_backup_file.yml,1
130,advancedIPscanner2,( advanced AND ip AND scanner AND 2),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_advanced_ip_scanner.yml,1
131,.lnk extension in outlook,(outlook AND .lnk),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_apt_unidentified_nov_18.yml,1
132,CVE-2021-41379,(elevation_service.exe AND msiexec),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_cve_2021_41379_msi_lpe.yml,1
133,icacls and .ini,(icacls AND .ini),https://book.hacktricks.xyz/windows-hardening/windows-local-privilege-escalation,1
134,umpert Process Dumper,(temp AND .dmp),https://book.hacktricks.xyz/windows-hardening/windows-local-privilege-escalation,1
135,lsass with .dmp extension,(lsass.dmp),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_hktl_createminidump.yml,1
136,NPPSpy Hacktool Usage,(nppspy),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_hktl_nppspy.yml,1
137,Lsass not from wininit,(lsass NOT wininit),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_lsass_dump.yml,1
138,Lsass weird extensions,(lsass AND (dmp OR zip OR rar OR dump)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_lsass_dump.yml,1
139,Adwind RAT / JRAT,(oracle AND java AND (.vbs OR retrieve OR retrive) AND .exe),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_mal_adwind.yml,1
140,VHD Image Download From Browser,((.vhd) AND (chrome OR iexplore OR firefox OR brave OR opera OR msedge OR vivaldi)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_mal_vhd_download.yml,1
141,Mimikatz Kirbi File Creation,(.kirbi),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_mimikatz_kirbi_file_creation.yml,1
142,Mimikatz MemSSP Default Log File Creation,(mimilsa.log),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_mimimaktz_memssp_log_file.yml,1
143,Created Files by Office Applications,((winword OR excel OR powerpnt) AND (mdst OR sdiagnost OR .dll OR .ocx OR .com OR .ps1 OR .vbs OR .sys OR .bat OR .scr OR .proj)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_script_creation_by_office_using_file_ext.yml,1
144,Suspicious Process Writes Ntds.dit,(ntds.dit AND (cmd OR powershell OR ps),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_susp_ntds_dit.yml,1
145,Suspicious Interactive PowerShell as SYSTEM,(ConsoleHost_history.txt OR StartupProfileData-Interactive),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_susp_system_interactive_powershell.yml,1
146,Scheduled Task Write to System32 Tasks,(tasks AND (appdata OR perflogs OR systemprofile)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_susp_task_write.yml,1
147,UAC Bypass Abusing Winsat Path Parsing,(users AND (winsat OR winmm)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_uac_bypass_winsat.yml,1
148,UAC Bypass Using Windows Media Player,(Windows AND Media AND osk),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_uac_bypass_wmp.yml,1
149,WScript or CScript Dropper,((wscript OR cscript) AND (.jse OR .vbe OR .js OR .vba OR .vbs)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_win_cscript_wscript_dropper.yml,1
150,Windows Shell File Write to Suspicious Folder,((cmd OR powershell OR cscript OR wscript OR sh.exe OR bash.exe OR msbuild.exe OR certutil.exe) AND (public OR perflogs) AND (schtaks OR wmic OR mshta OR rundll32 OR forfiles OR scriptrunner OR certutil OR temp)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_win_shell_write_susp_directory.yml,1
151,AWL Bypass with Winrm.vbs,((NOT system32 NOT syswow64) AND (WsmPty.xsl OR WsmTxt.xsl)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_winrm_awl_bypass.yml,1
152,Wmiprvse Wbemcomn DLL Hijack,(wbemcomn.dll),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_wmiprvse_wbemcomn_dll_hijack.yml,1
153,Cred Dump Tools,((pwdump OR kirbi OR pwhashes OR wce_ccache OR wce_krbtkts OR fgdump-log) AND (test OR lsremora OR fgexec OR wceaux OR sam.out OR security.out OR system.out OR ntds.out OR dumpext.dll OR dumpsvc.exe OR cachedump.exe OR pstgdump.exe OR servpw.exe OR sercpw64.exe OR pwdump.exe OR procdump64)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_creation_system_file.yml,1
154,,((syswow64) AND (mshta OR excel OR winword OR powerpnt OR cscript OR wscript)),https://twitter.com/SBousseaden/status/1090588499517079552,1
155,Interesting File Names,(htool OR hacktool OR (asp AND backdoor) OR (jsp AND backdoor) OR (php AND backdoor) OR webshell OR portscan OR .wincred OT plugx OR korplug OR chopper OR xscan OR clearlog OR aspxspy),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/builtin/application/win_av_relevant_match.yml,1
157,CVE-2021-41379,(MsiInstaller AND test.pkg),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/builtin/application/win_vul_cve_2021_41379.yml,1
158,Imphash,(imphash),https://twitter.com/0xrawsec/status/1002478725605273600?s=21,1
159,Hidden window Powershell,(powershell AND (-w  OR -windowstyle  OR -window) AND hidden),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_generic.yml,1
160,Powershell Reg Edit Addtion,(powershell AND reg AND add AND currentversion AND run),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_specific.yml,1
161,Suspicious web download script,(bypass AND -noprofile AND hidden AND new-object AND sytem.net.webclient AND .download),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_specific.yml,1
162,Base64 Conversion command,(convert AND frombase64string),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_specific.yml,1
163,Dumpert,(dumpert),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_hack_dumpert.yml,1
164,Updata . Exe,(updata),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_pingback_backdoor.yml,1
165,Writing to Local Admin Share,(127.0 AND Admin),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_fe_writing_local_admin_share.yml,1
166,Rclone Config dile Creation,(users AND config AND rclone),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_rclone_exec_file.yml,1
167,Outlook c2 Macro,(vbaproject.otm AND outlook),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_outlook_c2_macro_creation.yml,1
168,HiveNightmare SAM export,(temp AND (\SAM OR hive)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_hivenightmare_file_exports.yml,1
