number	rule name	confidence	boolean	label	Source
25	nbtscan	medium	(nbtscan)	tool	http://www.unixwiz.net/tools/nbtscan.html
26	certutil	high	(certutil AND (-urlcache OR -decode OR -encode OR -F OR -split))	commandline	https://www.bleepingcomputer.com/news/security/certutilexe-could-allow-attackers-to-download-malware-while-bypassing-av/
27	change	high	(change AND (logon OR port OR user))	commandline	https://www.techrepublic.com/article/change-the-terminal-services-listening-port-in-windows-2000/
28	chcp	high	(chcp)	commandline	https://www.computerhope.com/chcphlp.htm#:~:text=The%20chcp%20command%20is%20used,be%20loaded%2C%20and%20the%20country.
29	cipher	high	(cipher AND (-c OR -d OR -k or -e OR -h))	commandline	https://www.thewindowsclub.com/cipher-command-line-tool-windows
30	auditpol	high	(auditpol)	commandline	https://www.microsoftpressstore.com/articles/article.aspx?p=2217266&seqNum=3#:~:text=Auditpol.exe%20is%20a%20command,settings%20with%20the%20%2FSet%20subcommand
31	bitsadmin	high	(bitsadmin)	commandline	https://docs.microsoft.com/en-us/windows/win32/bits/bitsadmin-tool
32	arp	medium	(arp AND (-a OR -g))	commandline	https://www.meridianoutpost.com/resources/articles/command-line/arp.php
33	sed	medium	(sed AND /etc/)	commandline	https://stackoverflow.com/questions/30139358/changing-etc-hosts-with-sed-command
34	onesixtyone	medium	(onesixtyone)	tool	https://www.kali.org/tools/onesixtyone/#:~:text=onesixtyone%20is%20a%20simple%20SNMP,software%20running%20on%20the%20device.
35	snmpwalk	medium	(snmpwalk)	tool	https://www.comparitech.com/net-admin/snmpwalk-examples-windows-linux/
36	website studd	high	((post OR curl OR wget OR get) AND (.js OR .zip OR .php OR .aspx OR exe OR .xml OR .txt))	web	https://stackoverflow.com/questions/32626800/post-request-of-an-exe-application
37	phymyadmin	high	(/phpmyadmin OR /manager/html)	web	https://www.phpmyadmin.net/
38	powershell bypass	high	(powershell AND -executionpolicy AND bypass)	commandline	https://riptutorial.com/powershell/example/20107/bypassing-execution-policy-for-a-single-script
39	php session id	high	(GET OR POST AND PHPSESSID)	web	https://stackoverflow.com/questions/1370951/what-is-phpsessid#:~:text=PHPSESSID%20is%20an%20auto%20generated,this%20answer%20to%20receive%20notifications
40	php?file	high	(php?file)	web	https://www.php.net/manual/en/function.file.php
41	cmd =	high	(&cmd=)	web	https://www.itjungle.com/2005/08/31/fhg083105-story01/
42	simplehttpserver	high	(simplehttpserver)	commandline	https://www.pythonforbeginners.com/modules-in-python/how-to-use-simplehttpserver
43	php server	high	(php AND -s)	commandline	https://null-byte.wonderhowto.com/how-to/php-for-hackers-part-1-introduction-and-setting-up-0169117/
44	ruby run	high	(ruby AND -run)	script	https://github.com/ruby
45	busybox	high	(busybox)	tool	https://busybox.net/downloads/BusyBox.html
46	shell exec	high	(shell_exec)	web	https://www.php.net/manual/en/function.shell-exec.php
47	sql	high	(php?id=1)	web	https://www.php.net/
48	msfvenom	high	(msfvenom)	tool	https://www.offensive-security.com/metasploit-unleashed/msfvenom/
49	metasploit trash	high	(lhost OR rhost OR lport OR rport)	tool	https://www.offensive-security.com/metasploit-unleashed/msfconsole-commands/
50	mshta.exe	mediun	(mshta AND (javascript OR .hta OR vbs OR http OR https OR winword OR excel OR powerpnt OR cmd OR powershell OR wscript OR cscript OR sh.exe OR bash.exe OR reg OR bitsadmin))	web	https://www.tutorialspoint.com/hacking-with-hta-file-mshta-exe
51	hidden powershell	high	(powershell AND hidden)	commandline	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_generic.yml
52	powershell noprofile	high	(powershell AND -nop)	commandline	https://docs.microsoft.com/en-us/powershell/
53	create shell	high	(createobject AND shell)	script	https://docs.microsoft.com/en-us/previous-versions/windows/desktop/legacy/bb776890(v=vs.85)
54	ftp shenanigans	high	(ftp AND (-v OR -n OR -s))	tool	https://www.hostinger.com/tutorials/what-is-ftp
55	System.Net.WebClient	medium	(powershell AND System.Net.WebClient)	commandline	https://stackoverflow.com/questions/41819606/how-to-download-a-file-with-powershell-system-net-webclient-and-custom-user-agen
56	tftp	high	(tftp AND put)	tool	https://superuser.com/questions/581812/put-file-with-tftp-client-in-linux
57	buffers	high	(kernel32.dll OR msvcrt.dll) AND (memset OR virtualalloc OR createthread))	script	https://www.pinvoke.net/default.aspx/msvcrt/memset.html
58	unrestricted execution policy	high	(powershell AND Unrestricted)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.security/set-executionpolicy?view=powershell-7.2
59	tasklist	medium	(tasklist AND /SVC)	enumeration	https://www.computerhope.com/tasklist.htm
60	systeminfo	medium	(systeminfo AND findstr)	enumeration	https://www.windows-commandline.com/system-information-systeminfo-command/
61	route print	medium	(route AND print)	enumeration	https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/route_ws2008
62	firewall	medium	(netsh AND advfirewall AND (action AND allow) OR show)	enumeration	https://docs.microsoft.com/en-us/troubleshoot/windows-server/networking/netsh-advfirewall-firewall-control-firewall-behavior
63	schtasks	high	((schtasks OR at.exe) AND query)	enumeration	https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/schtasks
64	accesschk	high	(accesschk)	tool	https://docs.microsoft.com/en-us/sysinternals/downloads/accesschk
65	get ACL	high	(get-acl)	enumeration	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.security/get-acl?view=powershell-7.2
66	driverquery	medium	(driveryquery)	enumeration	https://www.computerhope.com/driverquery.htm#:~:text=The%20driverquery%20command%20enables%20an,list%20of%20installed%20device%20drivers.
67	pnpsigneddriver	high	(Get-WmiObject AND Win32_PnPSignedDriver)	enumeration	https://docs.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa394354(v=vs.85)
68	powershell priv esc	high	(powershell AND start-process AND -runas)	commandline	https://stackoverflow.com/questions/28989750/running-powershell-as-another-user-and-launching-a-script
69	sigcheck	high	(sigcheck)	tool	https://docs.microsoft.com/en-us/sysinternals/downloads/sigcheck
70	fodhelper	high	(fodhelper)	tool	https://www.oreilly.com/library/view/mastering-kali-linux/9781789340563/1124000a-2945-4408-99f3-e5f6c420f7e3.xhtml#:~:text=fodhelper.exe%20is%20the%20executable,exe%20to%20bypass%20the%20UAC.
71	php passwords	high	(php AND user AND admin)	web	https://www.php.net/manual/en/function.password-hash.php
72	hashcat64	high	(hashcat64)	tool	https://hashcat.net/hashcat/
73	plink	high	((plink OR putty)AND (-r OR -pw)	tool	https://the.earth.li/~sgtatham/putty/0.60/htmldoc/Chapter7.html
74	netsh proxy	high	(netsh AND (portproxy OR listenport OR listenaddress OR connectport OR connectaddress))	tool	https://docs.microsoft.com/en-us/windows-server/networking/technologies/netsh/netsh-interface-portproxy
75	net user domain	high	(net AND /domain)	enumeration	https://www.lifewire.com/net-user-command-2618097
76	:GetCurrent Domain()	high	(GetCurrent AND Domain)	enumeration	https://stackoverflow.com/questions/2085744/how-do-i-get-the-current-username-in-windows-powershell
77	import module	medium	(import-module)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/import-module?view=powershell-7.2
78	Get-NetLoggedon	medium	(Get-Net)	enumeration	https://docs.microsoft.com/en-us/powershell/module/netadapter/get-netadapter?view=windowsserver2022-ps
79	klist	medium	(klist)	enumeration	https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/klist
80	pass and admin	medium	(-pass AND (admin or -admin))	tool	https://superuser.com/questions/219391/using-command-prompt-arguments-to-run-a-file-with-arguments-as-an-administrato
81	pth-winexe	medium	(pth-winexe)	tool	https://infinitelogins.com/2020/09/05/popping-remote-shells-pth-winexe-on-windows/
82	net use	medium	(net AND use AND "\\")	commandline	https://www.lifewire.com/net-use-command-2618096
83	psexec	high	(psexec OR psexesvc)	tool	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_tool_psexec.yml
84	kiwi	high	(kiwi)	tool	https://www.kiwisyslog.com/other-it-products
85	general invoke	medium	(powershell AND invoke)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2
86	icacls	medium	(icacls AND c:)	enumeration	https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/icacls
87	ping	medium	(ping AND -n AND 1)	enumeration	https://riptutorial.com/batch-file/example/28398/ping
88	juicypotato.exe	medium	(juicypotato)	tool	https://github.com/ohpe/juicy-potato
89	invoke command	high	(invoke-command AND (-session OR -scriptblock))	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/invoke-command?view=powershell-7.2
90	copy item	high	(copy-item AND -tosession)	commandline	https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.management/copy-item?view=powershell-7.2
91	bloodhound	high	(bloodhound)	tool	https://attack.mitre.org/software/S0521/#:~:text=BloodHound%20is%20an%20Active%20Directory,paths%20within%20an%20AD%20environment.
92	UAC bypasses	high	(ms-settings AND Shell AND Open AND command)	commandline	https://pentestlab.blog/2017/06/07/uac-bypass-fodhelper/
93	UAC bypasses	high	(HKCU AND shell AND command)	commandline	https://social.technet.microsoft.com/Forums/en-US/58ceb750-29ef-4262-a626-6cc132611d2f/trying-to-change-hkcu-registry-value-shell-in-a-task-sequence?forum=configmanagerosd
94	remote thread	high	(kernel32dll AND loadlibraryA)	commandline	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/create_remote_thread/sysmon_createremotethread_loadlibrary.yml
95	powershell remote thread	high	(powershell AND rundll32	commandline	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/create_remote_thread/sysmon_susp_powershell_rundll32.yml
96	powershell non interactive	high	(powershell AND (-noni OR -noninteractive))	commandline	https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/deprecated/powershell_suspicious_invocation_generic.yml
